"Verb","Form","Tense","Person","Number","Mood"
"a","narram","NFUT",2,"PL","RLS"
"a","parram","NFUT",3,"PL","RLS"
"a","nga","NFUT",1,"SG","IRR"
"a","tha","NFUT",2,"SG","IRR"
"a","ka","NFUT",3,"SG","IRR"
"a","pa","NFUT","1+2","SG","IRR"
"a","nga","NFUT",1,"PAUC","IRR"
"a","na","NFUT",2,"PAUC","IRR"
"a","ka","NFUT",3,"PAUC","IRR"
"a","nga","NFUT",1,"PL","IRR"
"a","na","NFUT",2,"PL","IRR"
"a","ka","NFUT",3,"PL","IRR"
"a","ngani","PST",1,"SG","RLS"
"a","thani","PST",2,"SG","RLS"
"a","dani","PST",3,"SG","RLS"
"a","thani","PST","1+2","SG","RLS"
"a","ngarrane","PST",1,"PAUC","RLS"
"a","narrane","PST",2,"PAUC","RLS"
"a","parrane","PST",3,"PAUC","RLS"
"a","ngarrani","PST",1,"PL","RLS"
"a","narrani","PST",2,"PL","RLS"
"a","parrani","PST",3,"PL","RLS"
"a","nge","PST",1,"SG","IRR"
"a","tje","PST",2,"SG","IRR"
"a","de","PST",3,"SG","IRR"
"a","tje","PST","1+2","SG","IRR"
"a","ngerra","PST",1,"PAUC","IRR"
"a","nerra","PST",2,"PAUC","IRR"
"a","perra","PST",3,"PAUC","IRR"
"a","ngerra","PST",1,"PL","IRR"
"a","nerra","PST",2,"PL","IRR"
"a","perra","PST",3,"PL","IRR"
"ntji","ngantjin","NFUT",1,"SG","RLS"
"ntji","thantjin","NFUT",2,"SG","RLS"
"ntji","kantjin","NFUT",3,"SG","RLS"
"ntji","thantjin","NFUT","1+2","SG","RLS"
"ntji","ngantjin","NFUT",1,"PL","RLS"
"ntji","nantjin","NFUT",2,"PL","RLS"
"ntji","pantjin","NFUT",3,"PL","RLS"
"ntji","nga","NFUT",1,"SG","IRR"
"ntji","tha","NFUT",2,"SG","IRR"
"ntji","ka","NFUT",3,"SG","IRR"
"ntji","pa","NFUT","1+2","SG","IRR"
"ntji","nga","NFUT",1,"PAUC","IRR"
"ntji","na","NFUT",2,"PAUC","IRR"
"ntji","ka","NFUT",3,"PAUC","IRR"
"ntji","nga","NFUT",1,"PL","IRR"
"ntji","na","NFUT",2,"PL","IRR"
"ntji","ka","NFUT",3,"PL","IRR"
"ntji","ngantji","PST",1,"SG","RLS"
"ntji","thantji","PST",2,"SG","RLS"
"ntji","kantji","PST",3,"SG","RLS"
"ntji","thantji","PST","1+2","SG","RLS"
"ntji","ngantje","PST",1,"PAUC","RLS"
"ntji","nantje","PST",2,"PAUC","RLS"
"ntji","pantje","PST",3,"PAUC","RLS"
"ntji","ngantji","PST",1,"PL","RLS"
"ntji","nantji","PST",2,"PL","RLS"
"ntji","pantji","PST",3,"PL","RLS"
"ntji","nge","PST",1,"SG","IRR"
"ntji","tje","PST",2,"SG","IRR"
"ntji","de","PST",3,"SG","IRR"
"ntji","tje","PST","1+2","SG","IRR"
"ntji","ngerra","PST",1,"PAUC","IRR"
"ntji","nerra","PST",2,"PAUC","IRR"
"ntji","perra","PST",3,"PAUC","IRR"
"ntji","ngerra","PST",1,"PL","IRR"
"ntji","nerra","PST",2,"PL","IRR"
"ntji","perra","PST",3,"PL","IRR"
"i","ngabim","NFUT",1,"SG","RLS"
"i","tjibim","NFUT",2,"SG","RLS"
"i","yibim","NFUT",3,"SG","RLS"
"i","tjibim","NFUT","1+2","SG","RLS"
"i","ngarrim","NFUT",1,"PL","RLS"
"i","nirrim","NFUT",2,"PL","RLS"
"i","pirrim","NFUT",3,"PL","RLS"
"i","ngu","NFUT",1,"SG","IRR"
"i","thu","NFUT",2,"SG","IRR"
"i","ku","NFUT",3,"SG","IRR"
"i","pu","NFUT","1+2","SG","IRR"
"i","nge","NFUT",1,"PAUC","IRR"
"i","ne","NFUT",2,"PAUC","IRR"
"i","ke","NFUT",3,"PAUC","IRR"
"i","nguyu","NFUT",1,"PL","IRR"
"i","nuyu","NFUT",2,"PL","IRR"
"i","kuyu","NFUT",3,"PL","IRR"
"i","ngu","PST",1,"SG","RLS"
"i","thu","PST",2,"SG","RLS"
"i","yu","PST",3,"SG","RLS"
"i","thu","PST","1+2","SG","RLS"
"i","ngarrine","PST",1,"PAUC","RLS"
"i","nirrine","PST",2,"PAUC","RLS"
"i","pirrine","PST",3,"PAUC","RLS"
"i","ngarrini","PST",1,"PL","RLS"
"i","nirrini","PST",2,"PL","RLS"
"i","pirrini","PST",3,"PL","RLS"
"i","ngungi","PST",1,"SG","IRR"
"i","thungi","PST",2,"SG","IRR"
"i","yungi","PST",3,"SG","IRR"
"i","thungi","PST","1+2","SG","IRR"
"i","ngarrine","PST",1,"PAUC","IRR"
"i","nirrine","PST",2,"PAUC","IRR"
"i","pirrine","PST",3,"PAUC","IRR"
"i","ngarrini","PST",1,"PL","IRR"
"i","nirrini","PST",2,"PL","IRR"
"i","pirrini","PST",3,"PL","IRR"
"rra","ngarrim","NFUT",1,"SG","RLS"
"rra","tjirrim","NFUT",2,"SG","RLS"
"rra","pirrim","NFUT",3,"SG","RLS"
"rra","tjirrim","NFUT","1+2","SG","RLS"
"rra","ngibim","NFUT",1,"PL","RLS"
"rra","nibim","NFUT",2,"PL","RLS"
"rra","pibim","NFUT",3,"PL","RLS"
"rra","ngirra","NFUT",1,"SG","IRR"
"rra","tjirra","NFUT",2,"SG","IRR"
"rra","kirra","NFUT",3,"SG","IRR"
"rra","pirra","NFUT","1+2","SG","IRR"
"rra","ngira","NFUT",1,"PAUC","IRR"
"rra","nira","NFUT",2,"PAUC","IRR"
"rra","kira","NFUT",3,"PAUC","IRR"
"rra","ngira","NFUT",1,"PL","IRR"
"rra","nira","NFUT",2,"PL","IRR"
"rra","kira","NFUT",3,"PL","IRR"
"rra","ngirri","PST",1,"SG","RLS"
"rra","tjirri","PST",2,"SG","RLS"
"rra","pirri","PST",3,"SG","RLS"
"rra","tjirri","PST","1+2","SG","RLS"
"rra","nge","PST",1,"PAUC","RLS"
"rra","ne","PST",2,"PAUC","RLS"
"rra","pe","PST",3,"PAUC","RLS"
"rra","ngi","PST",1,"PL","RLS"
"rra","ni","PST",2,"PL","RLS"
"rra","pi","PST",3,"PL","RLS"
"rra","ngirrangi","PST",1,"SG","IRR"
"rra","tjirrangi","PST",2,"SG","IRR"
"rra","pirrangi","PST",3,"SG","IRR"
"rra","tjirrangi","PST","1+2","SG","IRR"
"rra","ngirangi","PST",1,"PAUC","IRR"
"rra","nirangi","PST",2,"PAUC","IRR"
"rra","pirangi","PST",3,"PAUC","IRR"
"rra","ngirangi","PST",1,"PL","IRR"
"rra","nirangi","PST",2,"PL","IRR"
"rra","pirangi","PST",3,"PL","IRR"
"ni","nganam","NFUT",1,"SG","RLS"
"ni","thanam","NFUT",2,"SG","RLS"
"ni","kanam","NFUT",3,"SG","RLS"
"ni","thanam","NFUT","1+2","SG","RLS"
"ni","ngarnam","NFUT",1,"PL","RLS"
"ni","narnam","NFUT",2,"PL","RLS"
"ni","parnam","NFUT",3,"PL","RLS"
"ni","ngani","NFUT",1,"SG","IRR"
"ni","thani","NFUT",2,"SG","IRR"
"ni","kani","NFUT",3,"SG","IRR"
"ni","pani","NFUT","1+2","SG","IRR"
"ni","ngarne","NFUT",1,"PAUC","IRR"
"ni","narne","NFUT",2,"PAUC","IRR"
"ni","karne","NFUT",3,"PAUC","IRR"
"ni","ngarni","NFUT",1,"PL","IRR"
"ni","narni","NFUT",2,"PL","IRR"
"ni","karni","NFUT",3,"PL","IRR"
"ni","ngardi","PST",1,"SG","RLS"
"ni","thardi","PST",2,"SG","RLS"
"ni","kardi","PST",3,"SG","RLS"
"ni","thardi","PST","1+2","SG","RLS"
"ni","ngarde","PST",1,"PAUC","RLS"
"ni","narde","PST",2,"PAUC","RLS"
"ni","parde","PST",3,"PAUC","RLS"
"ni","ngardi","PST",1,"PL","RLS"
"ni","nardi","PST",2,"PL","RLS"
"ni","pardi","PST",3,"PL","RLS"
"ni","ngani","PST",1,"SG","IRR"
"ni","thani","PST",2,"SG","IRR"
"ni","karni","PST",3,"SG","IRR"
"ni","thani","PST","1+2","SG","IRR"
"ni","ngarne","PST",1,"PAUC","IRR"
"ni","narne","PST",2,"PAUC","IRR"
"ni","parne","PST",3,"PAUC","IRR"
"ni","ngarni","PST",1,"PL","IRR"
"ni","narni","PST",2,"PL","IRR"
"ni","parni","PST",3,"PL","IRR"
"ntha","ngantjim","NFUT",1,"SG","RLS"
"ntha","tjintjim","NFUT",2,"SG","RLS"
"ntha","pintjim","NFUT",3,"SG","RLS"
"ntha","tjintjim","NFUT","1+2","SG","RLS"
"ntha","ngantjim","NFUT",1,"PL","RLS"
"ntha","nintjim","NFUT",2,"PL","RLS"
"ntha","pintjim","NFUT",3,"PL","RLS"
"ntha","ngintha","NFUT",1,"SG","IRR"
"ntha","tjintha","NFUT",2,"SG","IRR"
"ntha","kintha","NFUT",3,"SG","IRR"
"ntha","pintha","NFUT","1+2","SG","IRR"
"ntha","ngintha","NFUT",1,"PAUC","IRR"
"ntha","nintha","NFUT",2,"PAUC","IRR"
"ntha","kintha","NFUT",3,"PAUC","IRR"
"ntha","ngintha","NFUT",1,"PL","IRR"
"ntha","nintha","NFUT",2,"PL","IRR"
"ntha","kintha","NFUT",3,"PL","IRR"
"ntha","nginthanyi","PST",1,"SG","RLS"
"ntha","tjinthanyi","PST",2,"SG","RLS"
"ntha","pinthanyi","PST",3,"SG","RLS"
"ntha","tjinthanyi","PST","1+2","SG","RLS"
"ntha","nginthanye","PST",1,"PAUC","RLS"
"ntha","ninthanye","PST",2,"PAUC","RLS"
"ntha","pinthanye","PST",3,"PAUC","RLS"
"ntha","nginthanyi","PST",1,"PL","RLS"
"ntha","ninthanyi","PST",2,"PL","RLS"
"ntha","pinthanyi","PST",3,"PL","RLS"
"ntha","nginthangi","PST",1,"SG","IRR"
"ntha","tjinthangi","PST",2,"SG","IRR"
"ntha","pinthangi","PST",3,"SG","IRR"
"ntha","tjinthangi","PST","1+2","SG","IRR"
"ntha","nginthange","PST",1,"PAUC","IRR"
"ntha","ninthange","PST",2,"PAUC","IRR"
"ntha","pinthange","PST",3,"PAUC","IRR"
"ntha","nginthangi","PST",1,"PL","IRR"
"ntha","ninthangi","PST",2,"PL","IRR"
"ntha","pinthangi","PST",3,"PL","IRR"
"me","mem","NFUT",1,"SG","RLS"
"me","nem","NFUT",2,"SG","RLS"
"me","mem","NFUT",3,"SG","RLS"
"me","thumem","NFUT","1+2","SG","RLS"
"me","ngumem","NFUT",1,"PL","RLS"
"me","numem","NFUT",2,"PL","RLS"
"me","pumem","NFUT",3,"PL","RLS"
"me","me","NFUT",1,"SG","IRR"
"me","ne","NFUT",2,"SG","IRR"
"me","me","NFUT",3,"SG","IRR"
"me","pume","NFUT","1+2","SG","IRR"
"me","ngume","NFUT",1,"PAUC","IRR"
"me","nume","NFUT",2,"PAUC","IRR"
"me","kume","NFUT",3,"PAUC","IRR"
"me","ngume","NFUT",1,"PL","IRR"
"me","nume","NFUT",2,"PL","IRR"
"me","kume","NFUT",3,"PL","IRR"
"me","mena","PST",1,"SG","RLS"
"me","nena","PST",2,"SG","RLS"
"me","mena","PST",3,"SG","RLS"
"me","thumena","PST","1+2","SG","RLS"
"me","ngumena","PST",1,"PAUC","RLS"
"me","numena","PST",2,"PAUC","RLS"
"me","pumena","PST",3,"PAUC","RLS"
"me","ngumena","PST",1,"PL","RLS"
"me","numena","PST",2,"PL","RLS"
"me","pumena","PST",3,"PL","RLS"
"me","mena","PST",1,"SG","IRR"
"me","nena","PST",2,"SG","IRR"
"me","mena","PST",3,"SG","IRR"
"me","thumena","PST","1+2","SG","IRR"
"me","ngumena","PST",1,"PAUC","IRR"
"me","numena","PST",2,"PAUC","IRR"
"me","pumena","PST",3,"PAUC","IRR"
"me","ngumena","PST",1,"PL","IRR"
"me","numena","PST",2,"PL","IRR"
"me","pumena","PST",3,"PL","IRR"
"mi","mim","NFUT",1,"SG","RLS"
"mi","nim","NFUT",2,"SG","RLS"
"mi","mim","NFUT",3,"SG","RLS"
"mi","thumim","NFUT","1+2","SG","RLS"
"mi","ngumim","NFUT",1,"PL","RLS"
"mi","numim","NFUT",2,"PL","RLS"
"mi","pumim","NFUT",3,"PL","RLS"
"mi","mi","NFUT",1,"SG","IRR"
"mi","ni","NFUT",2,"SG","IRR"
"mi","mi","NFUT",3,"SG","IRR"
"mi","pumi","NFUT","1+2","SG","IRR"
"mi","ngumi","NFUT",1,"PAUC","IRR"
"mi","numi","NFUT",2,"PAUC","IRR"
"mi","kumi","NFUT",3,"PAUC","IRR"
"mi","ngumi","NFUT",1,"PL","IRR"
"mi","numi","NFUT",2,"PL","IRR"
"mi","kumi","NFUT",3,"PL","IRR"
"mi","mina","PST",1,"SG","RLS"
"mi","nina","PST",2,"SG","RLS"
"mi","mina","PST",3,"SG","RLS"
"mi","thumina","PST","1+2","SG","RLS"
"mi","ngumina","PST",1,"PAUC","RLS"
"mi","numina","PST",2,"PAUC","RLS"
"mi","pumina","PST",3,"PAUC","RLS"
"mi","ngumina","PST",1,"PL","RLS"
"mi","numina","PST",2,"PL","RLS"
"mi","pumina","PST",3,"PL","RLS"
"mi","mina","PST",1,"SG","IRR"
"mi","nina","PST",2,"SG","IRR"
"mi","mina","PST",3,"SG","IRR"
"mi","thumina","PST","1+2","SG","IRR"
"mi","ngumina","PST",1,"PAUC","IRR"
"mi","numina","PST",2,"PAUC","IRR"
"mi","pumina","PST",3,"PAUC","IRR"
"mi","ngumina","PST",1,"PL","IRR"
"mi","numina","PST",2,"PL","IRR"
"mi","pumina","PST",3,"PL","IRR"
"be","bem","NFUT",1,"SG","RLS"
"be","dem","NFUT",2,"SG","RLS"
"be","bem","NFUT",3,"SG","RLS"
"be","thubem","NFUT","1+2","SG","RLS"
"be","ngubem","NFUT",1,"PL","RLS"
"be","nubem","NFUT",2,"PL","RLS"
"be","pubem","NFUT",3,"PL","RLS"
"be","be","NFUT",1,"SG","IRR"
"be","de","NFUT",2,"SG","IRR"
"be","be","NFUT",3,"SG","IRR"
"be","pube","NFUT","1+2","SG","IRR"
"be","ngube","NFUT",1,"PAUC","IRR"
"be","nube","NFUT",2,"PAUC","IRR"
"be","kube","NFUT",3,"PAUC","IRR"
"be","ngube","NFUT",1,"PL","IRR"
"be","nube","NFUT",2,"PL","IRR"
"be","kube","NFUT",3,"PL","IRR"
"be","bena","PST",1,"SG","RLS"
"be","dena","PST",2,"SG","RLS"
"be","bena","PST",3,"SG","RLS"
"be","thubena","PST","1+2","SG","RLS"
"be","ngubena","PST",1,"PAUC","RLS"
"be","nubena","PST",2,"PAUC","RLS"
"be","pubena","PST",3,"PAUC","RLS"
"be","ngubena","PST",1,"PL","RLS"
"be","nubena","PST",2,"PL","RLS"
"be","pubena","PST",3,"PL","RLS"
"be","bena","PST",1,"SG","IRR"
"be","dena","PST",2,"SG","IRR"
"be","bena","PST",3,"SG","IRR"
"be","thubena","PST","1+2","SG","IRR"
"be","ngubena","PST",1,"PAUC","IRR"
"be","nubena","PST",2,"PAUC","IRR"
"be","pubena","PST",3,"PAUC","IRR"
"be","ngubena","PST",1,"PL","IRR"
"be","nubena","PST",2,"PL","IRR"
"be","pubena","PST",3,"PL","IRR"
"bi","bim","NFUT",1,"SG","RLS"
"bi","dim","NFUT",2,"SG","RLS"
"bi","bim","NFUT",3,"SG","RLS"
"bi","thubim","NFUT","1+2","SG","RLS"
"bi","ngubim","NFUT",1,"PL","RLS"
"bi","nubim","NFUT",2,"PL","RLS"
"bi","pubim","NFUT",3,"PL","RLS"
"bi","bi","NFUT",1,"SG","IRR"
"bi","di","NFUT",2,"SG","IRR"
"bi","bi","NFUT",3,"SG","IRR"
"bi","pubi","NFUT","1+2","SG","IRR"
"bi","ngubi","NFUT",1,"PAUC","IRR"
"bi","nubi","NFUT",2,"PAUC","IRR"
"bi","kubi","NFUT",3,"PAUC","IRR"
"bi","ngubi","NFUT",1,"PL","IRR"
"bi","nubi","NFUT",2,"PL","IRR"
"bi","kubi","NFUT",3,"PL","IRR"
"bi","bina","PST",1,"SG","RLS"
"bi","dina","PST",2,"SG","RLS"
"bi","bina","PST",3,"SG","RLS"
"bi","thubina","PST","1+2","SG","RLS"
"bi","ngubina","PST",1,"PAUC","RLS"
"bi","nubina","PST",2,"PAUC","RLS"
"bi","pubina","PST",3,"PAUC","RLS"
"bi","ngubina","PST",1,"PL","RLS"
"bi","nubina","PST",2,"PL","RLS"
"bi","pubina","PST",3,"PL","RLS"
"bi","bina","PST",1,"SG","IRR"
"bi","dina","PST",2,"SG","IRR"
"bi","bina","PST",3,"SG","IRR"
"bi","thubina","PST","1+2","SG","IRR"
"bi","ngubina","PST",1,"PAUC","IRR"
"bi","nubina","PST",2,"PAUC","IRR"
"bi","pubina","PST",3,"PAUC","IRR"
"bi","ngubina","PST",1,"PL","IRR"
"bi","nubina","PST",2,"PL","IRR"
"bi","pubina","PST",3,"PL","IRR"
